id_servico,titulo,descricao,valor,data_inicio,data_fim,status,id_area,id_pessoa,id_empresa
43,Automação de relatórios semanais,"Automação implementada usando Node-RED, com pipelines GitHub Actions, orquestração de tarefas, logs centralizados.",308.25,2018-06-12,2023-09-30,Cancelado,3,,31.0
44,Automação de relatórios semanais,"Automação implementada usando Node-RED, com orquestração de tarefas, integração com Slack/Discord, containers Docker.",607.19,2021-01-11,2024-06-03,Concluído,3,,22.0
45,Landing page de campanha,"Projeto web com foco em formulários com validação, SEO on-page, analytics e eventos. Stack utilizada: SvelteKit + Supabase.",186.4,2018-07-30,2023-08-29,Concluído,2,4.0,
46,Serious game educativo,"Jogo com conquistas, sistema de fases, efeitos sonoros e trilha. Desenvolvido na engine Phaser, com build para Android.",372.24,2025-01-27,2025-03-22,Cancelado,1,,31.0
47,E-commerce com checkout integrado,"Projeto web com foco em formulários com validação, layout responsivo, acessibilidade (WCAG). Stack utilizada: SvelteKit + Supabase.",220.32,2018-11-04,2024-10-11,Concluído,2,,25.0
48,Desenvolvimento de site institucional,"Projeto web com foco em cache e CDN, SEO on-page, layout responsivo. Stack utilizada: SvelteKit + Supabase.",355.72,2022-07-26,,Em andamento,2,,19.0
49,API REST e painel administrativo,"Projeto web com foco em acessibilidade (WCAG), SEO on-page, analytics e eventos. Stack utilizada: SvelteKit + Supabase.",1451.04,2025-06-22,2025-07-22,Concluído,2,,4.0
50,Monitoramento e alertas,"Automação implementada usando GitHub Actions, com testes E2E com Playwright/Selenium, logs centralizados, integração com Slack/Discord.",577.66,2019-03-20,2025-07-08,Concluído,3,,25.0
51,Automação de deploy (CI/CD),"Automação implementada usando Selenium, com integração com Slack/Discord, orquestração de tarefas, pipelines GitHub Actions.",1045.84,2021-03-23,2022-06-19,Concluído,3,,11.0
52,Serious game educativo,"Jogo com efeitos sonoros e trilha, sistema de fases, IA básica de inimigos. Desenvolvido na engine Unreal (Blueprints), com build para PC.",1086.15,2020-07-23,2024-06-23,Concluído,1,,24.0
53,Monitoramento e alertas,"Automação implementada usando Node-RED, com integração com Slack/Discord, orquestração de tarefas, logs centralizados.",909.8,2025-08-03,2025-08-16,Cancelado,3,,8.0
54,Sistema de autenticação e área do cliente,"Projeto web com foco em cache e CDN, integração com CRM, formulários com validação. Stack utilizada: SvelteKit + Supabase.",973.95,2019-11-19,2020-12-21,Concluído,2,,11.0
55,Jogo mobile de puzzles,"Jogo com salvamento de progresso, HUD e menus, conquistas. Desenvolvido na engine Unreal (Blueprints), com build para Android.",1074.34,2023-05-12,2024-06-21,Cancelado,1,,17.0
56,Integração com gateway de pagamento,"Projeto web com foco em formulários com validação, analytics e eventos, SEO on-page. Stack utilizada: WordPress + WooCommerce.",1021.97,2023-10-17,2025-06-27,Concluído,2,2.0,
57,Refatoração e otimização de performance web,"Projeto web com foco em formulários com validação, analytics e eventos, integração com CRM. Stack utilizada: Vue + Laravel + MySQL.",724.43,2018-05-19,2020-07-01,Cancelado,2,,15.0
58,E-commerce com checkout integrado,"Projeto web com foco em cache e CDN, otimização de imagens, layout responsivo. Stack utilizada: SvelteKit + Supabase.",1433.68,2019-02-05,2021-12-31,Concluído,2,,16.0
59,Monitoramento e alertas,"Automação implementada usando Playwright, com orquestração de tarefas, agendamento com cron, pipelines GitHub Actions.",714.75,2019-12-02,2022-08-28,Cancelado,3,5.0,
60,Protótipo de jogo 2D de plataforma,"Jogo com sistema de fases, controle por toque/teclado, conquistas. Desenvolvido na engine Godot, com build para PC.",1061.88,2022-01-29,2022-06-04,Concluído,1,,16.0
61,Desenvolvimento de site institucional,"Projeto web com foco em analytics e eventos, integração com CRM, cache e CDN. Stack utilizada: Next.js + Node.js + PostgreSQL.",1259.86,2021-09-14,2021-12-25,Concluído,2,,22.0
62,Jogo mobile de puzzles,"Jogo com controle por toque/teclado, sistema de fases, ranking online. Desenvolvido na engine Unity, com build para PC.",952.67,2022-05-15,2025-04-24,Concluído,1,,13.0
63,Integração com gateway de pagamento,"Projeto web com foco em analytics e eventos, formulários com validação, integração com CRM. Stack utilizada: Next.js + Node.js + PostgreSQL.",973.0,2019-05-21,2023-07-01,Concluído,2,,9.0
64,Landing page de campanha,"Projeto web com foco em SEO on-page, formulários com validação, layout responsivo. Stack utilizada: WordPress + WooCommerce.",758.18,2024-09-11,2025-07-17,Cancelado,2,3.0,
65,Robô de testes end-to-end,"Automação implementada usando Selenium, com pipelines GitHub Actions, testes E2E com Playwright/Selenium, containers Docker.",1402.96,2018-06-28,2022-01-07,Concluído,3,,18.0
66,API REST e painel administrativo,"Projeto web com foco em otimização de imagens, layout responsivo, integração com CRM. Stack utilizada: React + Django + PostgreSQL.",1220.05,2025-06-19,2025-08-08,Cancelado,2,,15.0
67,Integração de APIs e webhooks,"Automação implementada usando Node-RED, com orquestração de tarefas, integração com Slack/Discord, logs centralizados.",412.62,2018-08-18,,Em andamento,3,,11.0
68,Portal com CMS e blog,"Projeto web com foco em layout responsivo, integração com CRM, acessibilidade (WCAG). Stack utilizada: Vue + Laravel + MySQL.",927.93,2025-07-11,2025-08-13,Concluído,2,,21.0
69,Integração com gateway de pagamento,"Projeto web com foco em formulários com validação, layout responsivo, cache e CDN. Stack utilizada: Vue + Laravel + MySQL.",701.27,2020-09-07,2022-07-31,Concluído,2,,11.0
70,Integração com gateway de pagamento,"Projeto web com foco em layout responsivo, cache e CDN, formulários com validação. Stack utilizada: Vue + Laravel + MySQL.",490.74,2020-09-30,,Em andamento,2,,28.0
71,Automação de relatórios semanais,"Automação implementada usando Node-RED, com integração com Slack/Discord, orquestração de tarefas, logs centralizados.",375.89,2021-01-10,2024-06-17,Cancelado,3,,25.0
72,Runner infinito com ranking,"Jogo com conquistas, efeitos sonoros e trilha, IA básica de inimigos. Desenvolvido na engine Phaser, com build para web.",180.31,2024-10-02,2025-03-18,Concluído,1,,10.0
73,Automação de deploy (CI/CD),"Automação implementada usando Python RPA, com containers Docker, pipelines GitHub Actions, logs centralizados.",1206.79,2020-11-03,,Em andamento,3,,10.0
74,Sistema de autenticação e área do cliente,"Projeto web com foco em formulários com validação, SEO on-page, cache e CDN. Stack utilizada: SvelteKit + Supabase.",345.27,2019-10-16,,Em andamento,2,,24.0
75,Integração de APIs e webhooks,"Automação implementada usando Airflow, com integração com Slack/Discord, logs centralizados, agendamento com cron.",674.04,2018-08-30,,Em andamento,3,,27.0
76,Robô de testes end-to-end,"Automação implementada usando Airflow, com integração com Slack/Discord, containers Docker, logs centralizados.",978.08,2020-06-12,2023-04-29,Cancelado,3,,11.0
77,RPA para extração de dados,"Automação implementada usando Node-RED, com orquestração de tarefas, logs centralizados, containers Docker.",361.11,2023-03-09,2024-07-10,Cancelado,3,,22.0
78,RPA para extração de dados,"Automação implementada usando Airflow, com logs centralizados, pipelines GitHub Actions, containers Docker.",1651.5,2018-04-15,2024-10-19,Concluído,3,,15.0
79,Serious game educativo,"Jogo com sistema de fases, salvamento de progresso, ranking online. Desenvolvido na engine Phaser, com build para PC.",1168.45,2022-08-05,,Em andamento,1,,9.0
80,Automação de relatórios semanais,"Automação implementada usando Node-RED, com pipelines GitHub Actions, agendamento com cron, orquestração de tarefas.",1635.8,2018-11-16,2021-11-12,Cancelado,3,,2.0
81,API REST e painel administrativo,"Projeto web com foco em cache e CDN, acessibilidade (WCAG), layout responsivo. Stack utilizada: WordPress + WooCommerce.",1470.76,2025-01-22,2025-06-16,Concluído,2,,23.0
82,Refatoração e otimização de performance web,"Projeto web com foco em layout responsivo, otimização de imagens, integração com CRM. Stack utilizada: Vue + Laravel + MySQL.",731.43,2020-07-05,,Em andamento,2,,22.0
83,E-commerce com checkout integrado,"Projeto web com foco em integração com CRM, analytics e eventos, acessibilidade (WCAG). Stack utilizada: React + Django + PostgreSQL.",821.85,2021-10-09,2021-10-18,Concluído,2,,9.0
84,Robô de testes end-to-end,"Automação implementada usando Playwright, com agendamento com cron, testes E2E com Playwright/Selenium, orquestração de tarefas.",403.41,2019-06-09,2022-09-06,Cancelado,3,,14.0
85,API REST e painel administrativo,"Projeto web com foco em cache e CDN, formulários com validação, integração com CRM. Stack utilizada: Next.js + Node.js + PostgreSQL.",470.23,2024-07-14,2025-03-08,Cancelado,2,,10.0
86,Minigames para evento,"Jogo com HUD e menus, conquistas, sistema de fases. Desenvolvido na engine Unity, com build para PC.",932.43,2025-08-04,2025-08-18,Cancelado,1,,8.0
87,Portal com CMS e blog,"Projeto web com foco em analytics e eventos, acessibilidade (WCAG), integração com CRM. Stack utilizada: React + Django + PostgreSQL.",998.13,2025-02-18,2025-05-30,Concluído,2,,15.0
88,Runner infinito com ranking,"Jogo com conquistas, sistema de fases, efeitos sonoros e trilha. Desenvolvido na engine Unreal (Blueprints), com build para PC.",586.28,2022-05-11,,Em andamento,1,,29.0
89,Integração de APIs e webhooks,"Automação implementada usando Node-RED, com integração com Slack/Discord, containers Docker, agendamento com cron.",1654.34,2020-03-06,,Em andamento,3,,26.0
90,Protótipo de jogo 2D de plataforma,"Jogo com conquistas, HUD e menus, ranking online. Desenvolvido na engine Phaser, com build para PC.",534.06,2024-07-29,2025-01-08,Concluído,1,,4.0
91,Automação de relatórios semanais,"Automação implementada usando GitHub Actions, com agendamento com cron, orquestração de tarefas, logs centralizados.",1616.41,2022-03-29,,Em andamento,3,,1.0
92,Integração de APIs e webhooks,"Automação implementada usando GitHub Actions, com orquestração de tarefas, containers Docker, pipelines GitHub Actions.",1453.4,2022-06-23,2023-04-24,Cancelado,3,,4.0
93,Protótipo de jogo 2D de plataforma,"Jogo com controle por toque/teclado, IA básica de inimigos, sistema de fases. Desenvolvido na engine Unity, com build para web.",1081.62,2019-01-21,,Em andamento,1,,22.0
94,Monitoramento e alertas,"Automação implementada usando Node-RED, com logs centralizados, orquestração de tarefas, containers Docker.",1216.89,2021-04-14,2022-02-26,Cancelado,3,,9.0
95,Runner infinito com ranking,"Jogo com IA básica de inimigos, efeitos sonoros e trilha, HUD e menus. Desenvolvido na engine Godot, com build para Android.",254.32,2018-08-06,2018-10-29,Cancelado,1,3.0,
96,Protótipo de jogo 2D de plataforma,"Jogo com efeitos sonoros e trilha, sistema de fases, salvamento de progresso. Desenvolvido na engine Godot, com build para PC.",821.47,2021-02-22,2021-06-17,Concluído,1,,8.0
97,RPA para extração de dados,"Automação implementada usando Airflow, com pipelines GitHub Actions, orquestração de tarefas, containers Docker.",602.33,2022-08-06,2023-09-18,Cancelado,3,,26.0
98,Landing page de campanha,"Projeto web com foco em otimização de imagens, analytics e eventos, formulários com validação. Stack utilizada: React + Django + PostgreSQL.",298.4,2018-10-26,2023-11-08,Concluído,2,7.0,
99,Automação de deploy (CI/CD),"Automação implementada usando Playwright, com containers Docker, agendamento com cron, pipelines GitHub Actions.",1338.41,2021-07-12,2023-09-05,Concluído,3,,25.0
100,Robô de testes end-to-end,"Automação implementada usando Python RPA, com orquestração de tarefas, containers Docker, integração com Slack/Discord.",1318.14,2025-01-19,2025-01-23,Cancelado,3,,31.0
